Identifier ,objectid,object_location,,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
sookejr,jrhp_001,/objects/sookejr.jpg,Aerial Photo of Estuary with Lumber Mill,,,,,Image/JPG,photo,image,Forestry; Mill; Coastline,Black and White Aerial Photo of the estuary and Lumber Mill,/objects/small/sookejr_sm.jpg,/objects/thumbs/sookejr_th.jpg,
chowicancoppermine1965,jrhp_002,/objects/chowicancoppermine1965.jpg,Cowichan Copper Mine,,,1965,yes,Image/JPG,photo,image,Mining; Copper,Black and White Photo of the copper mine,/objects/small/chowicancoppermine1965_sm.jpg,/objects/thumbs/chowicancoppermine1965_th.jpg,
loggingopitem,jrhp_003,/objects/loggingopitem.png,Logging Operation at Jordan River,,,,,Image/PNG,photo,image,Forestry; Workers,Black and White Photo of logging workers,/objects/small/loggingopitem_sm.jpg,/objects/thumbs/loggingopitem_th.jpg,
1974minewastedumpandpond,jrhp_004,/objects/1974minewastedumpandpond.pdf,Mine Waste Dump and Pond,,,1974,,Image/PDF,photo,image,Mining; Copper; Sunro; Dumping,Black and White Photo of the Sunro Mine and the River below,/objects/small/1974minewastedumpandpond_sm.jpg,/objects/thumbs/1974minewastedumpandpond_th.jpg,
fileid_15115,jrhp_005,/objects/fileid_15115.pdf,Mine Waste Dump and Pond,,,1974,yes,Image/PDF,photo,image,Mining; Copper; Sunro; Dumping,Black and White Photo of the Sunro Mine and the River below,/objects/small/fileid_15115_sm.jpg,/objects/thumbs/fileid_15115_th.jpg,
fileid_15129,jrhp_006,/objects/fileid_15129.pdf,Sundo Mine Entrance,,,1958,yes,Image/PDF,photo,image,Mining; Copper; Sunro; Dumping,Black and White Photo of the Sundo Mine Entrance,/objects/small/fileid_15129_sm.jpg,/objects/thumbs/fileid_15129_th.jpg,
fileid_15134,jrhp_007,/objects/fileid_15134.pdf,Mine drill bit and Workers,,,,,Image/PDF,photo,image,Mining,Black and White Photo the Mining Drill Bit and Workers,/objects/small/fileid_15134_sm.jpg,/objects/thumbs/fileid_15134_th.jpg,
fileid_61241,jrhp_008,/objects/fileid_61241.pdf,Maveric River adds to the Mine Flow,,Times Colonist,1964-01-09,,Image/PDF,photo,image,Mining; Flood; Cowichan Copper Company; Copper,Black and White Newsprint with Photos of the Mine being flooded in 1964,/objects/small/fileid_61241_sm.jpg,/objects/thumbs/fileid_61241_th.jpg,
fileid_61335,jrhp_009,/objects/fileid_61335.pdf,Heavy Rain to Delay Flooded Mine Repair,,Victoria Daily Times,1963-12-07,,Image/PDF,photo,image,Mining; Flood; Cowichan Copper Company; Copper,Black and White Newsprint with Photos of the Mine being flooded in 1964,/objects/small/fileid_61335_sm.jpg,/objects/thumbs/fileid_61335_th.jpg,
jrestuary,jrhp_010,/objects/jrestuary.png,Aerial Photo of Estuary with Lumber Mill 2,,,,,Image/PNG,photo,image,Estuary; Forestry; Mill,Black and White Aerial Photo of the Estuary and Logging Mill,/objects/small/jrestuary_sm.jpg,/objects/thumbs/jrestuary_th.jpg,
jrestuary2,jrhp_011,/objects/jrestuary2.png,Aerial Photo of Estuary with Lumber Mill 3,,,,,Image/PNG,photo,image,Estuary; Forestry; Mill,Black and White Aerial Photo of the Estuary and Logging Mill,/objects/small/jrestuary2_sm.jpg,/objects/thumbs/jrestuary2_th.jpg,
1917boomingarea,jrhp_012,/objects/1917boomingarea.jpg,Booming Area Photo,,,1917,,Image/JPG,photo,image,Estuary; Forestry; Booming,Black and White Photo of the Booming Area,/objects/small/1917boomingarea_sm.jpg,/objects/thumbs/1917boomingarea_th.jpg,
forebaypond,jrhp_013,/objects/forebaypond.jpg,Forebay Pond,,,,,Image/JPG,photo,image,Estuary; Forestry; Forebay Pond,Black and White Photo of the Forebay Pond,/objects/small/forebaypond_sm.jpg,/objects/thumbs/forebaypond_th.jpg,
1950slogbooming,jrhp_014,/objects/1950slogbooming.jpg,Log Booming Photo,,,1950,yes,Image/JPG,photo,image,Estuary; Forestry; Booming,Black and White Photo of a crane lifting logs,/objects/small/1950slogbooming_sm.jpg,/objects/thumbs/1950slogbooming_th.jpg,
